Type,Aggregation,Parameters,Points,Iterations,Execution,Heap,RSS,Database-MAE,Tensorflow-MAE,Database-MSE,Tensorflow-MSE,Database-MAPE,Tensorflow-MAPE,Database-sMAPE,Tensorflow-sMAPE,Database-MPE,Tensorflow-MPE,Database,Tensorflow,Truth
double,standard,2,5000000,100,1.73818,0.0230859375,0.14642578125,2.2871583397807287,2.2871583397807385,5.292492216126201,5.292492216126244,inf,inf,1.4480010401690453,1.4480010401690475,-inf,-inf,[ 2.47748701 -0.17451118],"[2.4774870058278218, -0.17451117912987257]","[0.75, 0.75]"
double,kahan,2,5000000,100,2.069092,0.0230078125,0.147822265625,2.2871583397807376,2.2871583397807385,5.2924922161262415,5.292492216126244,inf,inf,1.4480010401690475,1.4480010401690475,-inf,-inf,[ 2.47748701 -0.17451118],"[2.4774870058278218, -0.17451117912987257]","[0.75, 0.75]"
float,standard,2,5000000,100,1.739686,0.02154296875,0.136171875,2.28717025808979,2.287159236032993,5.292547871427758,5.292496401373258,inf,inf,1.4480030177002992,1.4480011888791333,-inf,-inf,[ 2.4774976  -0.17451704],"[2.477487802505493, -0.17451156675815582]","[0.75, 0.75]"
float,kahan,2,5000000,100,2.053978,0.0216015625,0.136162109375,2.28715979570799,2.287159236032993,5.292499014899591,5.292496401373258,inf,inf,1.4480012817428076,1.4480011888791333,-inf,-inf,[ 2.4774883  -0.17451182],"[2.477487802505493, -0.17451156675815582]","[0.75, 0.75]"
bfloat,standard,2,5000000,100,7.15791,0.0199609375,0.122919921875,10.749889849829998,2.2245955400327353,119.08299983273847,5.004400679354499,inf,inf,1.8440330011053774,1.437420847239768,-inf,-inf,[10. 10.],"[2.421875, -0.16015625]","[0.75, 0.75]"
bfloat,kahan,2,5000000,100,8.448009,0.019951171875,0.1221484375,1.820303232557812,2.2245955400327353,3.338440950270843,5.004400679354499,inf,inf,1.3578483783247468,1.437420847239768,-inf,-inf,[2.0625     0.03857422],"[2.421875, -0.16015625]","[0.75, 0.75]"
double,standard,2,7500000,100,2.14089,0.02232421875,0.165224609375,2.287658482401115,2.287658482401148,5.294793878819403,5.294793878819552,inf,inf,1.4480087216054098,1.448008721605414,-inf,-inf,[ 2.47789092 -0.17479196],"[2.4778909217400726, -0.17479195571718228]","[0.75, 0.75]"
double,kahan,2,7500000,100,2.464067,0.022373046875,0.1653515625,2.2876584824011474,2.287658482401148,5.294793878819547,5.294793878819552,inf,inf,1.448008721605414,1.448008721605414,-inf,-inf,[ 2.47789092 -0.17479196],"[2.4778909217400726, -0.17479195571718228]","[0.75, 0.75]"
float,standard,2,7500000,100,2.110893,0.02099609375,0.15154296875,2.287679720958104,2.2876590712627363,5.294893078286545,5.294796629217698,inf,inf,1.4480122449122594,1.4480088192934537,-inf,-inf,[ 2.4779098  -0.17480183],"[2.477891445159912, -0.17479223012924194]","[0.75, 0.75]"
float,kahan,2,7500000,100,2.474545,0.02087890625,0.14921875,2.287659357964779,2.2876590712627363,5.29479796831833,5.294796629217698,inf,inf,1.4480088668553133,1.4480088192934537,-inf,-inf,[ 2.4778917  -0.17479236],"[2.477891445159912, -0.17479223012924194]","[0.75, 0.75]"
bfloat,standard,2,7500000,100,8.014083,0.01921875,0.13080078125,10.750236213986655,2.224639043703855,119.08874057139893,5.004567322096547,inf,inf,1.8440137547268929,1.4373518595272794,-inf,-inf,[10. 10.],"[2.421875, -0.16015625]","[0.75, 0.75]"
bfloat,kahan,2,7500000,100,9.808759,0.01912109375,0.129404296875,1.0996117882438536,2.224639043703855,1.2095136016433827,5.004567322096547,inf,inf,1.1407559776106149,1.4373518595272794,-inf,-inf,[1.421875  0.3828125],"[2.421875, -0.16015625]","[0.75, 0.75]"
double,standard,2,10000000,100,2.382111,0.023154296875,0.180888671875,2.288033814679808,2.2880338146797867,5.296535750324302,5.296535750324201,inf,inf,1.448075026078357,1.4480750260783537,-inf,-inf,[ 2.47823731 -0.17493404],"[2.478237311485001, -0.17493403873524366]","[0.75, 0.75]"
double,kahan,2,10000000,100,2.727321,0.023154296875,0.181435546875,2.2880338146797867,2.2880338146797867,5.296535750324196,5.296535750324201,inf,inf,1.4480750260783533,1.4480750260783537,-inf,-inf,[ 2.47823731 -0.17493404],"[2.478237311485001, -0.17493403873524366]","[0.75, 0.75]"
float,standard,2,10000000,100,2.489053,0.02171875,0.162587890625,2.288078127338487,2.2880344400420984,5.296742757359863,5.296538671682272,inf,inf,1.448082375512977,1.4480751297985983,-inf,-inf,[ 2.4782767 -0.174955 ],"[2.4782378673553467, -0.1749342679977417]","[0.75, 0.75]"
float,kahan,2,10000000,100,2.722421,0.0218359375,0.164501953125,2.2880341392634045,2.2880344400420984,5.296537266605058,5.296538671682272,inf,inf,1.44807507991258,1.4480751297985983,-inf,-inf,[ 2.4782376  -0.17493416],"[2.4782378673553467, -0.1749342679977417]","[0.75, 0.75]"
bfloat,standard,2,10000000,100,9.665345,0.01982421875,0.142724609375,10.750127469419988,2.22462538528172,119.08567416347496,5.004495061844612,inf,inf,1.8440148162898027,1.4373535021786812,-inf,-inf,[10. 10.],"[2.421875, -0.16015625]","[0.75, 0.75]"
bfloat,kahan,2,10000000,100,12.300394,0.019833984375,0.1412109375,0.6337842747363278,2.22462538528172,0.4066489966422969,5.004495061844612,inf,inf,0.8995125476999684,1.4373535021786812,-inf,-inf,[1.0078125  0.63671875],"[2.421875, -0.16015625]","[0.75, 0.75]"
double,standard,2,25000000,100,2.971909,0.023583984375,0.283642578125,2.288306146408886,2.2883061464088867,5.297797457817734,5.2977974578177385,inf,inf,1.448112311133752,1.448112311133752,-inf,-inf,[ 2.47848159 -0.17504831],"[2.4784815925108052, -0.17504831037342208]","[0.75, 0.75]"
double,kahan,2,25000000,100,3.507564,0.023466796875,0.283359375,2.2883061464088867,2.2883061464088867,5.297797457817741,5.2977974578177385,inf,inf,1.4481123111337524,1.448112311133752,-inf,-inf,[ 2.47848159 -0.17504831],"[2.4784815925108052, -0.17504831037342208]","[0.75, 0.75]"
float,standard,2,25000000,100,2.973005,0.0221484375,0.2428125,2.288445543887459,2.288306077369556,5.298448744753172,5.297797135265084,inf,inf,1.448135426751821,1.4481122996848028,-inf,-inf,[ 2.4786055  -0.17511478],"[2.4784815311431885, -0.17504841089248657]","[0.75, 0.75]"
float,kahan,2,25000000,100,3.529334,0.022158203125,0.2428125,2.288306042333077,2.288306077369556,5.297796971574219,5.297797135265084,inf,inf,1.4481122938746276,1.4481122996848028,-inf,-inf,[ 2.4784815  -0.17504829],"[2.4784815311431885, -0.17504841089248657]","[0.75, 0.75]"
bfloat,standard,2,25000000,100,18.33916,0.0204296875,0.208916015625,10.75010863970001,2.2246230202507795,119.08465102885552,5.004474785318986,inf,inf,1.8440128775864837,1.4373450118030864,-inf,-inf,[10. 10.],"[2.421875, -0.16015625]","[0.75, 0.75]"
bfloat,kahan,2,25000000,100,23.533221,0.020390625,0.208408203125,1.2490262122519498,2.2246230202507795,1.5623625804144046,5.004474785318986,inf,inf,1.1970623908269338,1.4373450118030864,-inf,-inf,[1.5546875 1.5546875],"[2.421875, -0.16015625]","[0.75, 0.75]"
double,standard,2,50000000,100,5.416256,0.02470703125,0.454755859375,2.288073604257337,2.288073604257625,5.296719950031054,5.296719950032457,inf,inf,1.4480807718864876,1.4480807718865398,-inf,-inf,[ 2.47827259 -0.17495139],"[2.478272591769401, -0.17495138613659367]","[0.75, 0.75]"
double,kahan,2,50000000,100,6.404983,0.02474609375,0.454228515625,2.2880736042576264,2.288073604257625,5.296719950032458,5.296719950032457,inf,inf,1.4480807718865398,1.4480807718865398,-inf,-inf,[ 2.47827259 -0.17495139],"[2.478272591769401, -0.17495138613659367]","[0.75, 0.75]"
float,standard,2,50000000,100,5.429763,0.02333984375,0.380341796875,2.288555457353549,2.2880736995446846,5.298971188817019,5.296720395170163,inf,inf,1.4481606767995243,1.448080787690123,-inf,-inf,[ 2.4787009 -0.1751835],"[2.4782726764678955, -0.1749514490365982]","[0.75, 0.75]"
float,kahan,2,50000000,100,6.662872,0.023251953125,0.378720703125,2.2880733885142233,2.2880736995446846,5.296718942177618,5.296720395170163,inf,inf,1.4480807361049564,1.448080787690123,-inf,-inf,[ 2.4782724  -0.17495133],"[2.4782726764678955, -0.1749514490365982]","[0.75, 0.75]"
bfloat,standard,2,50000000,100,34.98166,0.021259765625,0.3188671875,10.750128216829,2.224625479157006,119.08559465403755,5.004493971704329,inf,inf,1.844014530091171,1.4373526561041143,-inf,-inf,[10. 10.],"[2.421875, -0.16015625]","[0.75, 0.75]"
bfloat,kahan,2,50000000,100,45.73297,0.021328125,0.3176171875,3.9297260266914082,2.224625479157006,15.760593358471503,5.004493971704329,inf,inf,1.630304247079271,1.4373526561041143,-inf,-inf,[3.9375 3.9375],"[2.421875, -0.16015625]","[0.75, 0.75]"
double,standard,2,75000000,100,7.531174,0.0255859375,0.619140625,2.288230092651964,2.288230092651982,5.297449561449635,5.297449561449721,inf,inf,1.4481229238156323,1.448122923815636,-inf,-inf,[ 2.47842694 -0.17499489],"[2.478426937568478, -0.17499489148922678]","[0.75, 0.75]"
double,kahan,2,75000000,100,8.94691,0.025576171875,0.62123046875,2.288230092651981,2.288230092651982,5.297449561449717,5.297449561449721,inf,inf,1.448122923815636,1.448122923815636,-inf,-inf,[ 2.47842694 -0.17499489],"[2.478426937568478, -0.17499489148922678]","[0.75, 0.75]"
float,standard,2,75000000,100,7.640678,0.024072265625,0.505888671875,2.289077625247889,2.2882298196162347,5.301409865452403,5.297448285863245,inf,inf,1.448263437524102,1.4481228785370586,-inf,-inf,[ 2.4791803 -0.175402 ],"[2.478426694869995, -0.17499476671218872]","[0.75, 0.75]"
float,kahan,2,75000000,100,9.289591,0.0240625,0.50345703125,2.2882306128873555,2.2882298196162347,5.297451991920188,5.297448285863245,inf,inf,1.448123010088255,1.4481228785370586,-inf,-inf,[ 2.4784274  -0.17499514],"[2.478426694869995, -0.17499476671218872]","[0.75, 0.75]"
bfloat,standard,2,75000000,100,51.959352,0.022158203125,0.428505859375,10.749998394621288,2.2246091733628948,119.08262628732973,5.004418628392532,inf,inf,1.8440186785279413,1.4373662342081714,-inf,-inf,[10. 10.],"[2.421875, -0.16015625]","[0.75, 0.75]"
bfloat,kahan,2,75000000,100,68.220464,0.022080078125,0.42755859375,3.9296870176145746,2.2246091733628948,15.76027077332326,5.004418628392532,inf,inf,1.6303136014911255,1.4373662342081714,-inf,-inf,[3.9375 3.9375],"[2.421875, -0.16015625]","[0.75, 0.75]"
double,standard,2,100000000,100,9.81817,0.026484375,0.7852734375,2.2882723131920892,2.2882723131921754,5.297647806619749,5.297647806620154,inf,inf,1.448140504053912,1.4481405040539252,-inf,-inf,[ 2.47847279 -0.17499996],"[2.4784727878082817, -0.1749999585593331]","[0.75, 0.75]"
double,kahan,2,100000000,100,11.606527,0.026552734375,0.785849609375,2.2882723131921754,2.2882723131921754,5.297647806620154,5.297647806620154,inf,inf,1.4481405040539252,1.4481405040539252,-inf,-inf,[ 2.47847279 -0.17499996],"[2.4784727878082817, -0.1749999585593331]","[0.75, 0.75]"
float,standard,2,100000000,100,9.835536,0.025,0.630703125,2.2896621415801124,2.288273029927953,5.304143026226333,5.297651155178456,inf,inf,1.4483708792201893,1.44814062290833,-inf,-inf,[ 2.4797082  -0.17566787],"[2.478473424911499, -0.17500023543834686]","[0.75, 0.75]"
float,kahan,2,100000000,100,11.912592,0.02490234375,0.6310546875,2.2882730019027444,2.288273029927953,5.297651024245788,5.297651155178456,inf,inf,1.4481406182609853,1.44814062290833,-inf,-inf,[ 2.4784734  -0.17500027],"[2.478473424911499, -0.17500023543834686]","[0.75, 0.75]"
bfloat,standard,2,100000000,100,69.539515,0.022958984375,0.538251953125,10.74992754873798,2.2246002750518237,119.08110891804037,5.004379129629956,inf,inf,1.8440213725346508,1.437375422203408,-inf,-inf,[10. 10.],"[2.421875, -0.16015625]","[0.75, 0.75]"
bfloat,kahan,2,100000000,100,90.80334,0.0228515625,0.537763671875,6.109337032752142,2.2246002750518237,38.29069414321615,5.004379129629956,inf,inf,1.742918224950819,1.437375422203408,-inf,-inf,[5.875 5.875],"[2.421875, -0.16015625]","[0.75, 0.75]"
double,standard,2,250000000,100,23.832376,0.032158203125,1.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[ 2.47813426 -0.17484367],[-1],"[0.75, 0.75]"
double,kahan,2,250000000,100,28.222231,0.032099609375,1.79,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[ 2.47813426 -0.17484367],[-1],"[0.75, 0.75]"
float,standard,2,250000000,100,24.379832,0.030185546875,1.41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[ 2.4826963  -0.17723311],[-1],"[0.75, 0.75]"
float,kahan,2,250000000,100,28.472911,0.03025390625,1.42,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[ 2.4781344  -0.17484368],[-1],"[0.75, 0.75]"
bfloat,standard,2,250000000,100,173.862416,0.02763671875,1.21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[10. 10.],[-1],"[0.75, 0.75]"
bfloat,kahan,2,250000000,100,233.810004,0.0276953125,1.21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[10. 10.],[-1],"[0.75, 0.75]"
double,standard,2,500000000,100,48.640787,0.042783203125,3.44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[ 2.47817461 -0.17486499],[-1],"[0.75, 0.75]"
double,kahan,2,500000000,100,56.762007,0.042900390625,3.44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[ 2.47817461 -0.17486499],[-1],"[0.75, 0.75]"
float,standard,2,500000000,100,48.537327,0.039521484375,2.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[ 2.5481424  -0.21218698],[-1],"[0.75, 0.75]"
float,kahan,2,500000000,100,57.294527,0.039638671875,2.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[ 2.4781747  -0.17486489],[-1],"[0.75, 0.75]"
bfloat,standard,2,500000000,100,348.44931,0.035595703125,2.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[10. 10.],[-1],"[0.75, 0.75]"
bfloat,kahan,2,500000000,100,454.871312,0.035576171875,2.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[10. 10.],[-1],"[0.75, 0.75]"
double,standard,2,750000000,100,73.957804,0.053701171875,5.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[ 2.47812338 -0.17485715],[-1],"[0.75, 0.75]"
double,kahan,2,750000000,100,86.001727,0.052841796875,5.09,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[ 2.47812338 -0.17485715],[-1],"[0.75, 0.75]"
float,standard,2,750000000,100,73.418123,0.049208984375,3.99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[ 2.6110017  -0.24630181],[-1],"[0.75, 0.75]"
float,kahan,2,750000000,100,85.746959,0.049443359375,3.99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[ 2.4781234  -0.17485724],[-1],"[0.75, 0.75]"
bfloat,standard,2,750000000,100,520.123339,0.0448046875,3.39,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[10. 10.],[-1],"[0.75, 0.75]"
bfloat,kahan,2,750000000,100,681.185233,0.04521484375,3.39,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[10. 10.],[-1],"[0.75, 0.75]"
double,standard,2,1000000000,100,98.883453,0.06369140625,6.74,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[ 2.47813588 -0.17486444],[-1],"[0.75, 0.75]"
double,kahan,2,1000000000,100,115.045497,0.06357421875,6.74,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[ 2.47813588 -0.17486444],[-1],"[0.75, 0.75]"
float,standard,2,1000000000,100,98.303944,0.058818359375,5.28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[ 2.447129   -0.16137311],[-1],"[0.75, 0.75]"
float,kahan,2,1000000000,100,114.96596,0.05892578125,5.28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[ 2.4781365  -0.17486474],[-1],"[0.75, 0.75]"
bfloat,standard,2,1000000000,100,694.742987,0.053681640625,4.49,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[10. 10.],[-1],"[0.75, 0.75]"
bfloat,kahan,2,1000000000,100,908.045332,0.053623046875,4.48,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[10. 10.],[-1],"[0.75, 0.75]"
double,standard,3,10000000,100,2.387843,0.026201171875,0.21744140625,4.233958069928813,4.233958069928808,19.407290138880768,19.407290138880715,inf,inf,1.625094868394871,1.6250948683948707,-inf,-inf,[ 2.367875    2.36635404 -0.96056912],"[2.36787500089885, 2.3663540449615015, -0.9605691219215458]","[0.75, 0.75, 0.75]"
double,kahan,3,10000000,100,2.937634,0.026220703125,0.21564453125,4.233958069928808,4.233958069928808,19.407290138880715,19.407290138880715,inf,inf,1.6250948683948707,1.6250948683948707,-inf,-inf,[ 2.367875    2.36635404 -0.96056912],"[2.36787500089885, 2.3663540449615015, -0.9605691219215458]","[0.75, 0.75, 0.75]"
float,standard,3,10000000,100,2.335506,0.024228515625,0.18638671875,4.233992755507259,4.233958034607685,19.40760706417784,19.407289873019057,inf,inf,1.6250972751339299,1.6250948648569365,-inf,-inf,[ 2.3678935  2.366371  -0.9605878],"[2.367875099182129, 2.366353988647461, -0.9605690836906433]","[0.75, 0.75, 0.75]"
float,kahan,3,10000000,100,3.084679,0.024150390625,0.1866796875,4.233958602122207,4.233958034607685,19.407295154639574,19.407289873019057,inf,inf,1.6250949023964198,1.6250948648569365,-inf,-inf,[ 2.3678756   2.3663542  -0.96056944],"[2.367875099182129, 2.366353988647461, -0.9605690836906433]","[0.75, 0.75, 0.75]"
bfloat,standard,3,10000000,100,15.462945,0.021552734375,0.165126953125,19.501965393944978,3.9379607718189864,409.388884407454,16.80125782219934,inf,inf,1.902201541348262,1.6032717428088912,-inf,-inf,[10. 10. 10.],"[2.21875, 2.21875, -0.80859375]","[0.75, 0.75, 0.75]"
bfloat,kahan,3,10000000,100,19.794642,0.02150390625,0.1681640625,1.890887874732128,3.9379607718189864,3.9410275346520267,16.80125782219934,inf,inf,1.334826128433119,1.6032717428088912,-inf,-inf,[1.1953125 1.1953125 0.3046875],"[2.21875, 2.21875, -0.80859375]","[0.75, 0.75, 0.75]"
double,standard,4,10000000,100,3.873164,0.0287109375,0.25529296875,5.9977416879039955,5.997741687904,38.62090320999041,38.62090320999046,inf,inf,1.7141317514660828,1.7141317514660828,-inf,-inf,[ 2.2605072   2.26000654  2.26012652 -1.62600969],"[2.2605071956324134, 2.2600065447829487, 2.2601265226172482, -1.6260096888699092]","[0.75, 0.75, 0.75, 0.75]"
double,kahan,4,10000000,100,4.277851,0.028798828125,0.253740234375,5.997741687904,5.997741687904,38.62090320999047,38.62090320999046,inf,inf,1.7141317514660828,1.7141317514660828,-inf,-inf,[ 2.2605072   2.26000654  2.26012652 -1.62600969],"[2.2605071956324134, 2.2600065447829487, 2.2601265226172482, -1.6260096888699092]","[0.75, 0.75, 0.75, 0.75]"
float,standard,4,10000000,100,3.935817,0.026240234375,0.22072265625,5.997789110729614,5.997742040499892,38.62151159421183,38.62090747638643,inf,inf,1.7141336408840306,1.7141317680451202,-inf,-inf,[ 2.2605228  2.260024   2.260143  -1.6260356],"[2.260507106781006, 2.2600061893463135, 2.260126829147339, -1.6260095834732056]","[0.75, 0.75, 0.75, 0.75]"
float,kahan,4,10000000,100,4.319071,0.0261328125,0.221015625,5.997741987790576,5.997742040499892,38.62090681531087,38.62090747638643,inf,inf,1.7141317657966237,1.7141317680451202,-inf,-inf,[ 2.2605073  2.260006   2.2601268 -1.6260096],"[2.260507106781006, 2.2600061893463135, 2.260126829147339, -1.6260095834732056]","[0.75, 0.75, 0.75, 0.75]"
