Type,Aggregation,Statement,Matrix_A,Matrix_B,Vector_V,Execution,Heap,RSS,Database-L2-Norm,Tensorflow-L2-Norm,Database-MSE,Tensorflow-MSE,Database-Sum,Tensorflow-Sum
float4,standard,3,4900,4900,70,0.015354,0.002861328125,0.03263671875,15.44791836086842,5.710357112710995e-06,3.409116881200795,4.658311193527007e-13,1103.5682300000003,1115.0333
float4,standard,4,4900,4900,70,0.018854,0.002978515625,0.033125,0.0006663524091974037,0.00023435871908568072,6.343221903474059e-09,7.846287030211574e-10,39469.012279999995,39469.01
float8,standard,1,6400,6400,80,0.137185,0.0037109375,0.03369140625,1.4438675969683136e-11,0.0,2.6059420469688157e-24,0.0,63866.72358626124,63866.72358626123
float8,standard,2,6400,6400,80,0.853584,0.036357421875,0.065439453125,-1,-1,-1,-1,63866.72358626123,-1
float8,standard,3,6400,6400,80,0.016301,0.002861328125,0.031796875,19.224842089568057,0.0,4.619931917110344,0.0,1585.7152996181392,1592.808825469376
float8,standard,4,6400,6400,80,0.020838,0.002978515625,0.032255859375,2.1600499167107046e-12,0.0,5.832269553352402e-26,0.0,63866.723586261236,63866.72358626123
float4,standard,1,6400,6400,80,0.192054,0.003779296875,0.033583984375,0.00818699260600385,0.0002776815331372615,8.378355991345214e-07,9.638379230682506e-10,63866.73333,63866.727
float4,standard,2,6400,6400,80,0.661313,0.03642578125,0.0648046875,-1,-1,-1,-1,63866.72359860959,-1
float4,standard,3,6400,6400,80,0.01582,0.0029296875,0.032001953125,19.224841524843516,8.284954262627431e-06,4.619931645691844,8.580058391728554e-13,1585.715306,1592.8088
float4,standard,4,6400,6400,80,0.018142,0.003037109375,0.033291015625,0.0010567773517687479,0.0002776815331372615,1.3959729640142098e-08,9.638379230682506e-10,63866.72463,63866.727
float8,standard,1,8100,8100,90,0.193165,0.004287109375,0.033798828125,2.3828988992956458e-11,0.0,6.30911907140489e-24,0.0,86938.66788235407,86938.66788235404
float8,standard,2,8100,8100,90,1.187969,0.0533203125,0.0790234375,-1,-1,-1,-1,86938.66788235404,-1
float8,standard,3,8100,8100,90,0.016959,0.00318359375,0.032861328125,18.579851459062258,0.0,3.8356764471201985,0.0,1919.161619331372,1926.5276115046966
float8,standard,4,8100,8100,90,0.015152,0.00330078125,0.0321484375,2.475137655105441e-12,0.0,6.80700712413429e-26,0.0,86938.66788235404,86938.66788235404
float4,standard,1,8100,8100,90,0.159801,0.003779296875,0.03330078125,0.012286652788258377,0.0003446666306266644,1.6773537415468598e-06,1.3199454029726393e-09,86938.65558,86938.664
float4,standard,2,8100,8100,90,0.92029,0.0528125,0.078056640625,-1,-1,-1,-1,86938.6674996819,-1
float4,standard,3,8100,8100,90,0.0185,0.0029296875,0.031884765625,18.579847962263923,8.731546023198721e-06,3.835675003342698,8.471099550581933e-13,1919.1615619999998,1926.5277
float4,standard,4,8100,8100,90,0.014066,0.003037109375,0.032724609375,0.0012042536621129551,0.0003446666306266644,1.611363203013848e-08,1.3199454029726393e-09,86938.66436,86938.664
float8,standard,1,10000,10000,100,0.228429,0.005166015625,0.035595703125,3.048779164297164e-11,0.0,9.295054392652514e-24,0.0,116961.79126725621,116961.79126725622
float8,standard,2,10000,10000,100,1.578076,0.0705859375,0.097158203125,-1,-1,-1,-1,116961.79126725625,-1
float8,standard,3,10000,10000,100,0.021565,0.00337890625,0.0328515625,21.230207556686622,0.0,4.507217128999938,0.0,2348.704168519196,2351.674795046078
float8,standard,4,10000,10000,100,0.025422,0.003486328125,0.033388671875,3.668052569287665e-12,0.0,1.345460965105784e-25,0.0,116961.79126725622,116961.79126725622
float4,standard,1,10000,10000,100,0.243705,0.005107421875,0.03361328125,0.01909300220940706,0.0005386746959855372,3.6454273336842288e-06,2.9017042809511093e-09,116961.7857,116961.805
float4,standard,2,10000,10000,100,1.273966,0.070517578125,0.095927734375,-1,-1,-1,-1,116961.79109114794,-1
float4,standard,3,10000,10000,100,0.011703,0.003310546875,0.03185546875,21.230216636809423,1.060949584836174e-05,4.507220984458597,1.1256140215640503e-12,2348.704142999999,2351.6748
float4,standard,4,10000,10000,100,0.026902,0.003427734375,0.0326953125,0.00168224245216961,0.0005386746959855372,2.8299396678816222e-08,2.9017042809511093e-09,116961.79174000002,116961.805
float8,standard,1,40000,40000,200,1.615309,0.013271484375,0.043076171875,4.0544086425792477e-10,0.0,8.219114720510649e-22,0.0,1032059.7605088488,1032059.760508849
float8,standard,2,40000,40000,200,9.504695,0.521044921875,0.54162109375,-1,-1,-1,-1,1032059.7605088494,-1
float8,standard,3,40000,40000,200,0.017077,0.00607421875,0.035478515625,49.43977639015254,0.0,12.221457447541422,0.0,10348.096612408575,10422.724457937318
float8,standard,4,40000,40000,200,0.067278,0.00625,0.03759765625,3.223257435214573e-11,0.0,5.194694246833014e-24,0.0,1032059.7605088493,1032059.760508849
float4,standard,1,40000,40000,200,1.545048,0.0132421875,0.042255859375,0.2701621892573186,1.068583527160455,0.00036493804252153613,0.005709353772593394,1032057.7444000001,1032058.25
float4,standard,2,40000,40000,200,8.366921,0.521025390625,0.541318359375,-1,-1,-1,-1,1032059.7610595676,-1
float4,standard,3,40000,40000,200,0.046883,0.00607421875,0.034716796875,49.43978717774656,4.7062191942294155e-05,12.221462780904368,1.1074249552066683e-11,10348.096633000001,10422.725
float4,standard,4,40000,40000,200,0.068665,0.00625,0.0377734375,0.015650481559116514,1.068583527160455,1.2246878651612302e-06,0.005709353772593394,1032059.7731999999,1032058.25
float8,standard,1,90000,90000,300,4.242227,0.0123828125,0.050078125,1.7767076187001941e-09,0.0,1.0522299874491048e-20,0.0,3337903.8796829274,3337903.8796829283
float8,standard,2,90000,90000,300,30.27451,1.74,1.77,-1,-1,-1,-1,3337903.8796829227,-1
float8,standard,3,90000,90000,300,0.105905,0.008154296875,0.040185546875,72.59760758836603,0.0,17.56804209184794,0.0,22189.01304888481,22177.40089896878
float8,standard,4,90000,90000,300,0.130631,0.008232421875,0.042763671875,9.852812628342392e-11,0.0,3.235930556307444e-23,0.0,3337903.879682929,3337903.8796829283
float4,standard,1,90000,90000,300,3.94124,0.01638671875,0.050380859375,1.2772711576782114,2.4951079171836326,0.005438072034122128,0.020751878394641484,3337889.7515000002,3337895.5
float4,standard,2,90000,90000,300,22.556397,1.74,1.77,-1,-1,-1,-1,3337903.8745160457,-1
float4,standard,3,90000,90000,300,0.102735,0.008388671875,0.03984375,72.59761015421537,5.999173374487116e-05,17.56804333367812,1.1996693725718376e-11,22189.012956,22177.4
float4,standard,4,90000,90000,300,0.131969,0.008466796875,0.04234375,0.05457566293740528,2.4951079171836326,9.928343283524242e-06,0.020751878394641484,3337903.9404999996,3337895.5
float8,standard,1,160000,160000,400,8.375503,0.016220703125,0.05876953125,4.4212145551268035e-09,0.0,4.8867845356162747e-20,0.0,7785837.1053974675,7785837.105397465
float8,standard,2,160000,160000,400,68.018388,4.11,4.15,-1,-1,-1,-1,7785837.105397447,-1
float8,standard,3,160000,160000,400,0.137782,0.008125,0.0427734375,95.02614959253826,0.0,22.57492276595865,0.0,38982.47343952382,38960.0160075445
float8,standard,4,160000,160000,400,0.209966,0.008212890625,0.0495703125,2.25789272360022e-10,0.0,1.2745198878217051e-22,0.0,7785837.105397467,7785837.105397465
float4,standard,1,160000,160000,400,8.565625,0.016474609375,0.0590234375,7.403212499578825,4.157050075349444,0.1370188882848004,0.043202663322407034,7785697.245999999,7785825.0
float4,standard,2,160000,160000,400,52.542966,4.11,4.15,-1,-1,-1,-1,7785837.109386348,-1
float4,standard,3,160000,160000,400,0.135473,0.008408203125,0.0425,95.02615427277152,8.320763207555583e-05,22.57492498968143,1.730877508905267e-11,38982.473572,38960.016
float4,standard,4,160000,160000,400,0.156532,0.00849609375,0.04806640625,0.1207798602634832,4.157050075349444,3.6469436613166316e-05,0.043202663322407034,7785837.026,7785825.0
float8,standard,1,250000,250000,500,10.67149,0.016279296875,0.066591796875,6.29014005236084e-09,0.0,7.913172375662806e-20,0.0,15994674.521098075,15994674.521098075
float8,standard,3,250000,250000,500,0.139236,0.00822265625,0.04603515625,125.18994067022844,0.0,31.345042490030636,0.0,63872.92202731911,63864.95108062005
float8,standard,4,250000,250000,500,0.20806,0.00830078125,0.055712890625,3.8229947432709e-10,0.0,2.923057761415387e-22,0.0,15994674.521098077,15994674.521098075
float4,standard,1,250000,250000,500,10.655025,0.016474609375,0.068369140625,6.787610976495872,7.0098821106593805,0.09214332553649447,0.09827689441068484,15994540.911,15994646.0
float4,standard,3,250000,250000,500,0.134333,0.008447265625,0.046435546875,125.18992643843156,0.00016850704282576632,31.345035363319806,5.678924696376929e-11,63872.922376,63864.953
float4,standard,4,250000,250000,500,0.214447,0.008525390625,0.0572265625,0.2083710323371062,7.0098821106593805,8.683697423446271e-05,0.09827689441068484,15994674.708,15994646.0
float8,standard,1,360000,360000,600,18.287496,0.01642578125,0.075458984375,1.0228896672893841e-08,0.0,1.7438387857456448e-19,0.0,28619858.517121,28619858.51712101
float8,standard,3,360000,360000,600,0.159978,0.0082421875,0.05169921875,145.21654951567754,0.0,35.14641042206538,0.0,95267.28262269513,95208.44763912415
float8,standard,4,360000,360000,600,0.252385,0.0083203125,0.066572265625,8.285970934711356e-10,0.0,1.1442885721813563e-21,0.0,28619858.517121017,28619858.51712101
float4,standard,1,360000,360000,600,18.713734,0.0166015625,0.077666015625,19.132554904994002,11.15685354210436,0.6100910953210168,0.207458968266611,28619416.614,28619780.0
float4,standard,3,360000,360000,600,0.117908,0.008447265625,0.05068359375,145.2165685209758,0.00023045302799338488,35.14641962167878,8.851433018553306e-11,95267.28133,95208.445
float4,standard,4,360000,360000,600,0.253925,0.008525390625,0.0653125,0.44965479517391316,11.15685354210436,0.0003369823913714897,0.207458968266611,28619857.551,28619780.0
float8,standard,1,490000,490000,700,27.040388,0.01638671875,0.087958984375,1.610598424083068e-08,0.0,3.705753262369803e-19,0.0,44517205.0020742,44517205.002074204
float8,standard,3,490000,490000,700,0.195126,0.00830078125,0.05775390625,171.70453875583877,0.0,42.11778375622191,0.0,127234.71089050622,127298.98304723695
float8,standard,4,490000,490000,700,0.322726,0.008388671875,0.078798828125,1.1522231839807377e-09,0.0,1.8965975224324413e-21,0.0,44517205.00207421,44517205.002074204
float4,standard,1,490000,490000,700,23.16607,0.016591796875,0.08919921875,42.83515639557006,15.029439560003345,2.621215176332781,0.32269150498256216,44516099.301,44517020.0
float4,standard,3,490000,490000,700,0.194986,0.008525390625,0.056787109375,171.70457223579388,0.00021161109748505681,42.11780018096707,6.397036654118602e-11,127234.71325999999,127298.984
float4,standard,4,490000,490000,700,0.308389,0.008603515625,0.077919921875,0.6076587836339538,15.029439560003345,0.0005274988533249947,0.32269150498256216,44517206.111,44517020.0
float8,standard,1,640000,640000,800,23.126452,0.016337890625,0.10068359375,1.641991971614344e-08,0.0,3.37017204355745e-19,0.0,64806418.758036256,64806418.758036226
float8,standard,3,640000,640000,800,0.191033,0.00830078125,0.064052734375,182.54056764598562,0.0,41.65132354564832,0.0,161912.67141826297,162043.52342613804
float8,standard,4,640000,640000,800,0.383443,0.008388671875,0.091884765625,1.8548412529136165e-09,0.0,4.300545091887693e-21,0.0,64806418.75803625,64806418.758036226
float4,standard,1,640000,640000,800,22.946294,0.01654296875,0.102001953125,47.55520464578939,29.774080793984613,2.8268718611286356,1.1081198589084043,64805104.071,64805730.0
float4,standard,3,640000,640000,800,0.184739,0.008525390625,0.063115234375,182.5405578132299,0.0003537328493011923,41.6513190584564,1.5640866084342503e-10,161912.67269,162043.53
float4,standard,4,640000,640000,800,0.377106,0.008603515625,0.091142578125,1.0006293144703222,29.774080793984613,0.0012515737812216837,1.1081198589084043,64806420.747,64805730.0
float8,standard,1,810000,810000,900,33.404814,0.016689453125,0.04666015625,2.3523259862350256e-08,0.0,6.148263939462873e-19,0.0,90991545.80439724,90991545.80439723
float8,standard,3,810000,810000,900,0.219518,0.0084375,0.036904296875,213.7413501895402,0.0,50.761516423164075,0.0,202189.58574650262,202330.73790931975
float8,standard,4,810000,810000,900,0.514265,0.008515625,0.03625,2.5553428322601647e-09,0.0,7.255307767092668e-21,0.0,90991545.80439723,90991545.80439723
float4,standard,1,810000,810000,900,33.624159,0.016748046875,0.048291015625,98.31997742565588,25.796047754379103,10.74090884553498,0.7393734219402301,90988633.13700001,90991090.0
float4,standard,3,810000,810000,900,0.222308,0.008525390625,0.0363671875,213.74131071358045,0.00040678883572857396,50.76149767284371,1.8386350763712078e-10,202189.5868,202330.73
float4,standard,4,810000,810000,900,0.40282,0.008603515625,0.037763671875,1.3478529941131425,25.796047754379103,0.002018564104155292,0.7393734219402301,90991547.055,90991090.0
float8,standard,1,1000000,1000000,1000,42.626166,0.01671875,0.046435546875,3.6827648847692234e-08,0.0,1.356275719648927e-18,0.0,120386282.20237425,120386282.20237422
float8,standard,3,1000000,1000000,1000,0.257391,0.0084375,0.03818359375,226.98161194033034,0.0,51.52065215903071,0.0,240983.29001874078,240895.42588714533
float8,standard,4,1000000,1000000,1000,0.616645,0.008515625,0.037392578125,3.035147208308183e-09,0.0,9.212118576100957e-21,0.0,120386282.20237425,120386282.20237422
float4,standard,1,1000000,1000000,1000,41.92491,0.01681640625,0.04763671875,222.39043525362476,32.69733438341425,49.457505692296664,1.0691156757808038,120379299.07800001,120385620.0
float4,standard,3,1000000,1000000,1000,0.236486,0.00865234375,0.036455078125,226.98158109941755,0.0004497813533141645,51.52063815839146,2.0230326578912126e-10,240983.29013,240895.42
float4,standard,4,1000000,1000000,1000,0.531082,0.00873046875,0.038115234375,1.6959477463516104,32.69733438341425,0.0028762387583551063,1.0691156757808038,120386282.00600001,120385620.0
float8,standard,1,6250000,6250000,2500,666.422853,0.012421875,0.042412109375,7.997574167874168e-07,0.0,2.5584477028259277e-16,0.0,1946044040.34836,1946044040.3483586
float8,standard,3,6250000,6250000,2500,1.1918,0.008603515625,0.036123046875,595.4516676558335,0.0,141.82507540564526,0.0,1556870.9643482687,1556673.4858741667
float8,standard,4,6250000,6250000,2500,2.445699,0.008681640625,0.037333984375,5.348254695723387e-08,0.0,1.1441531316130903e-18,0.0,1946044040.3483589,1946044040.3483586
float4,standard,1,6250000,6250000,2500,670.186907,0.011611328125,0.041533203125,38702.46382087257,1321.9740442851414,599152.2823223801,699.0461495054452,1944110047.83,1945978400.0
float4,standard,3,6250000,6250000,2500,1.357896,0.008759765625,0.037451171875,595.4518559082843,0.002025163819760769,141.8251650818481,1.640515398747212e-09,1556870.9524200002,1556673.6
float4,standard,4,6250000,6250000,2500,2.595543,0.008837890625,0.03876953125,29.177193815524184,1321.9740442851414,0.34052345557946506,699.0461495054452,1946044016.38,1945978400.0
float8,standard,3,25000000,25000000,5000,9.339641,0.008828125,0.038759765625,1185.13328722258,0.0,280.90818169659974,0.0,6245103.851961182,6245687.554908576
