Type,Aggregation,Statement,Matrix_A,Matrix_B,Vector_V,Execution,Heap,RSS,Database-L2-Norm,Tensorflow-L2-Norm,Database-MSE,Tensorflow-MSE,Database-Sum,Tensorflow-Sum
float,standard,3,90000,90000,300,0.217151,0.02123046875,0.261630859375,72.59760758836596,5.999173374487116e-05,17.5680420918479,1.1996693725718376e-11,22189.013048884815,22177.4
float,standard,4,90000,90000,300,0.249582,0.0673828125,0.263095703125,5.024989092405448e-10,2.4951079171836326,8.416838459597907e-22,0.020751878394641484,3337903.8796829293,3337895.5
float8,standard,1,160000,160000,400,0.290222,0.0323046875,0.2912890625,2.758235784660353e-09,0.0,1.9019661609452285e-20,0.0,7785837.105397465,7785837.105397465
float8,standard,2,160000,160000,400,3.540013,0.0319140625,0.296298828125,-1,-1,-1,-1,7785837.105397478,-1
float8,standard,3,160000,160000,400,0.284838,0.023466796875,0.266884765625,95.02614959253812,0.0,22.574922765958583,0.0,38982.47343952382,38960.0160075445
float8,standard,4,160000,160000,400,0.217807,0.103037109375,0.25849609375,6.149152800266391e-10,0.0,9.453020040256e-22,0.0,7785837.105397467,7785837.105397465
float,standard,1,160000,160000,400,0.292744,0.032626953125,0.293701171875,2.5205102851474077e-09,4.157050075349444,1.5882430243834668e-20,0.043202663322407034,7785837.105397467,7785825.0
float,standard,2,160000,160000,400,3.354394,0.031279296875,0.29775390625,-1,-1,-1,-1,7785837.105397441,-1
float,standard,3,160000,160000,400,0.348004,0.023427734375,0.265947265625,95.02614959253837,8.320763207555583e-05,22.5749227659587,1.730877508905267e-11,38982.47343952382,38960.016
float,standard,4,160000,160000,400,0.313428,0.10296875,0.266064453125,6.047148131122988e-10,4.157050075349444,9.142000129936062e-22,0.043202663322407034,7785837.105397467,7785825.0
float8,standard,1,250000,250000,500,1.007905,1.77,4.18,8.930266556012181e-09,0.0,1.5949932152285935e-19,0.0,15469696.700383227,15469696.700383225
float8,standard,2,250000,250000,500,4.353398,0.036796875,0.303427734375,-1,-1,-1,-1,15469696.700383294,-1
float8,standard,3,250000,250000,500,0.260179,0.02703125,0.2688671875,118.1045060007116,0.0,27.89734867534424,0.0,61854.29829068768,61899.014688657444
float8,standard,4,250000,250000,500,0.213873,0.148955078125,0.266826171875,7.806410832643044e-10,0.0,1.2188010017601331e-21,0.0,15469696.700383227,15469696.700383225
float,standard,1,250000,250000,500,1.005393,1.76,4.21,8.279286080811418e-09,6.677368922754958,1.3709315601583537e-19,0.08917451146114744,15469696.700383235,15469665.0
float,standard,2,250000,250000,500,5.571517,0.03869140625,0.3053515625,-1,-1,-1,-1,15469696.700383201,-1
float,standard,3,250000,250000,500,0.235085,0.02708984375,0.269150390625,118.1045060007114,0.0001320502955024772,27.897348675344148,3.487456108458311e-11,61854.29829068768,61899.016
float,standard,4,250000,250000,500,0.269677,0.14849609375,0.27451171875,7.741205172921181e-10,6.677368922754958,1.1985251505852334e-21,0.08917451146114744,15469696.700383227,15469665.0
float8,standard,1,360000,360000,600,1.5029,1.77,7.12,2.0075321691106026e-08,0.0,6.716975683356535e-19,0.0,28619858.51712104,28619858.51712101
float8,standard,3,360000,360000,600,0.208765,0.030380859375,0.275283203125,145.21654951567768,0.0,35.14641042206544,0.0,95267.28262269513,95208.44763912415
float8,standard,4,360000,360000,600,0.221652,0.204970703125,0.278935546875,9.758738291960956e-10,0.0,1.5872162175164175e-21,0.0,28619858.51712101,28619858.51712101
float,standard,1,360000,360000,600,1.430087,1.77,7.12,1.9902898956600183e-08,11.15685354210436,6.602089781277277e-19,0.207458968266611,28619858.517121,28619780.0
float,standard,3,360000,360000,600,0.233867,0.03099609375,0.2733203125,145.21654951567731,0.00023045302799338488,35.14641042206527,8.851433018553306e-11,95267.28262269513,95208.445
